,summonerName
131,Pajkaro89
132,Luxfanna
133,sssysaE
134,The1nfinity
135,Luukäse
136,VITTEL ADDICT
137,Nicram
138,Oloklastos
139,Dänesgod
140,Josepito
141,WieprzowinazKury
142,Sebal1p
143,Hypnøs
144,UndercoverRookie
145,Nice Guy Vecom
146,URFISCOOL
147, ma ma ài ni
148,DravenPlayerMemb
149,Iliks
150,Dawn Redemption
151,ai lekker
152,300 Tommygun
153,Diplexheatedd
154,7bts
155,Engecha
156,SornasCh0pper
157,Romantic
158,Fast 2
159,streammonster
160,xDTL
161,Wâpzy
162,C9 M0E
163,Taatuh
164,Perhimloth
165,RyogiMana
166,Hörö Sha
167,Laudon3
168,LF Tremendous
169,YuliyTheJaeger
170,1234144
171,patek on patek
172,TaliyahImp
173,julës
174,3 51 pm
175,Diminuendos
176,Alone Summoner
177,EVIL HERO DAMAS
178,Aomlk
179,Split Your Head
180,ANYTHlNG
181,JACEK KRZYNUWEK
182,gxno
183,POSlTlVVE
184,antek suchy
185,quid lad
186,DANGEROUS N00B
187,kendifcb
188,Is My Name Good
189,Badwoman1
190,Fordanester
191,WERHENT
192,C1oudstorm
193,HûaHuâ
194,ConoronaVirus
195,Monochrome Rose
196,Faulkner
197,Propheccyyyyy
198,JudaszekPL2009
199,AlperSemihAYDIN
200,Palvito
201,one sword man
202,FAKE RAT IRL XD
203,Original God
204,R E
0,soloitude
1,Javris
2,OMG xD xD HAhAxD
3,Meiran
4,Starduster
5,Radjan
6,PRO tecting Her 
7,Real KMS Hours
8,Gıyu Tomıoka
9,Plank Me Father
10,tibia player
11,Ghiosu
12,bEtTErjUnGLeRwlN
13,peace love all
14,L9 Haski
15,Bazippo
16,SK Panda KR
17,ItsMediated
18,Glejsjon
19,4ll M1ght
20,Dense Harem Mc
21,GoneNvrForgotten
22,Captalnqwark
23,meto652
24,RepMe4ScriptsPls
25,GoldenDrewriever
26,Waldener
27,hard to imagine
28,IlIllllIIlIIllI
29,Αllfadern
30,MrForces
31,nkem
32,Zaiiche
33,matchup explorer
34,Oppress
35,CorsairDamian
36,Morello Salesman
37,GyghaIII
38,Klette76
39,Refresh27
40,PAUL PUNISHER
41,D2 HARDSTUCK
42,1738
43,Born in storm
44,NonimoEUW
45,AterialDown
46,FioraSeinVater
47,CL GOSH
48,Top Lane Jax
49,ShiNoZuKinG
50,Kaeloo v2
51,Cow1337killr
52,Thesimus
53,m4tej
54,Young Bratz
55,Avifiks
56,mid Sintax
57,Zedleris
58,Forgiven apm
59,Ypipo
60,Regelschmerz
61,SixPackJesus
62,OneBaldGuy
63,Hoppip50
64,Rouladen
65,Šauron
66,fast f drop
67,Clarence Worley
68,Zyirene
69,xxrazzzzerxx
70,Hrvatko
71,iNasyy
72,Nêqster
73,XerRaý
74,Pardoxs
75,Kamciø
76,Mr JDW
77,LoLTookMyMoney
78,Seifzone
79,             diò
80,Ńíght
81,Dnzo
82,Xoyoh
83,He was RlGHT
84,LEVIΑCKERMAN
85,abigai1e
86,Maex01
87,Fliomag
88, Ké K O 
89,Tywin Lannister 
90,Trizak
91,10k ping spikes
92,Herr Lundenheim
93,King Der1ck
94,Kuoni
95,Cartî
96,1ZESUO1
97,Koreanmazan
98,Djexf
99,DEVOT1ON
100,void iwnl
101,Subhuman Filth
102,XL Special
103,Taøur
104,Eclipše
105,Demi Porc Sion
106,HaveMerzyOnMe
107,TR IamNewPlayer
108,XXTHEHAMMERXX
109,Border Police 
110,25th ηight
111,Jiyoon
112,wolf smurfer
113,NienormaIny
114,My name iś Jesus
115,Wazzz
116,LightOfNights
117,GGiler
