,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries
25,5b21d2a6-b93e-4495-80b9-b9488ebb8be6,RANKED_SOLO_5x5,DIAMOND,IV,p8f-fWiVG8fZyyal7KpNYwQ6B6FbvYDHqleorJwJT8VQY2mU,stay posîtîve,0,46,64,False,False,False,False,
26,d170b386-5dbe-454a-95d0-e8f191dd5a43,RANKED_SOLO_5x5,DIAMOND,IV,TAsj4J6Qe2PT-GcjPwJJ7pgt4eG-RMLLWaq9GHTzH3xKu7V3,rezy3h,90,41,29,False,False,False,False,
27,ca725991-c267-4be5-9f61-4db3d9c26263,RANKED_SOLO_5x5,DIAMOND,IV,Znmi3ShUvzdov5OYyxJ44YkcAg_kD9ErvezkpZmmkWsj6YHE,king evil boy,0,129,100,False,False,False,False,
28,557c08ce-163d-43c3-b19f-7e7a18bf56fe,RANKED_SOLO_5x5,DIAMOND,IV,bwTe8iUs2XzedJ011XLSKpviTgIt6ZMQbPdbbykiBWpKbu9E,Loternop,58,85,86,False,False,False,False,
29,beb101e0-5bac-414a-8f1b-573abb9f0675,RANKED_SOLO_5x5,DIAMOND,IV,rg6MbQcVxo11111sbcQFgo5sY3NfNmfrsbBVvjnP9wAmp3ZR,CursedTop,36,144,122,False,False,False,False,
30,eb266cdc-c2b1-4995-b346-48a36f053adf,RANKED_SOLO_5x5,DIAMOND,IV,Mk0MtzMD6-RTAVz88mJXgGKFCH2X_oCgITViZv6b7PpnCzZx,FeeerCMoreno,100,433,411,False,False,False,True,"{'target': 2, 'wins': 0, 'losses': 0, 'progress': 'NNN'}"
31,14f3ef98-106c-487a-931d-75ab3c2b63ed,RANKED_SOLO_5x5,DIAMOND,IV,1iPE6kXdCCCKSiorHJgGiyz1bJs7yRd-NpEuBbhe5qh2VRw2,KáZmà,0,217,199,False,False,False,False,
32,61f72d82-ee29-4873-92a9-cc0cbbb5169d,RANKED_SOLO_5x5,DIAMOND,IV,q221RfJLodh-UO2ECaZAGk6YKNeL58plcZtAu_w_V-OCCr2i,I M P U R 00,0,229,194,False,False,False,False,
33,d8c3f41b-8053-40b5-90c1-53a5474a9dd5,RANKED_SOLO_5x5,DIAMOND,IV,-6elpyKWXv48f83bi4oy0xlUliAZDblKT993BkZZAkjNkc9i,frederikib1977,0,137,134,False,False,True,True,
34,f98bd968-5c40-42d5-ae31-5be0abfeb0d1,RANKED_SOLO_5x5,DIAMOND,IV,Qa0ukT3qjQpO3wl4C0uo1STZYMUz7vwoBCHgRIR0_s2TKVQU,Magma Blast,82,116,108,False,False,False,False,
